dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Afrikaans-AfriBooms,af_afribooms,,---,33880,98.07,97.78,98.89,98.97,98.80
UD_Assyrian-AS,aii_as,,et\_ewt,0,20.38,30.31,19.06,27.37,15.01
UD_South_Levantine_Arabic-MADAR,ajp_madar,,ar\_padt,0,55.89,56.23,58.51,57.75,56.99
UD_Akkadian-PISANDUB,akk_pisandub,,et\_edt,0,28.62,17.04,12.22,17.89,22.41
UD_Akkadian-RIAO,akk_riao,,et\_edt,0,34.86,34.98,29.76,39.86,34.86
UD_Amharic-ATT,am_att,,et\_ewt,0,14.76,3.66,28.66,27.81,28.64
UD_Apurina-UFPA,apu_ufpa,,fi\_ftb,0,22.12,45.64,49.08,35.44,48.19
UD_Akuntsu-TuDeT,aqz_tudet,,cs\_pdt,0,22.96,32.23,30.26,24.93,31.90
UD_Arabic-PADT,ar_padt,,---,254400,74.48,74.22,74.46,74.64,74.59
UD_Arabic-PUD,ar_pud,,ar\_padt,0,77.79,78.35,77.33,78.19,77.70
UD_Belarusian-HSE,be_hse,,---,273425,98.47,98.29,98.41,98.57,98.64
UD_Beja-NSC,bej_nsc,,---,0,24.07,8.02,10.81,26.85,8.45
UD_Bulgarian-BTB,bg_btb,,---,124336,99.25,99.07,99.42,99.47,99.46
UD_Bhojpuri-BHTB,bho_bhtb,,hi\_hdtb,0,60.51,61.35,63.40,63.64,64.37
UD_Bambara-CRB,bm_crb,,qhe\_hiencs,0,35.96,31.17,30.43,32.23,30.61
UD_Breton-KEB,br_keb,,fr\_gsd,0,73.50,53.25,51.12,51.44,51.91
UD_Buryat-BDT,bxr_bdt,,---,153,35.06,58.53,71.43,67.10,66.95
UD_Catalan-AnCora,ca_ancora,,---,441561,94.65,94.64,94.74,94.72,94.78
UD_Chukchi-HSE,ckt_hse,,ru\_syntagrus,0,0.00,0.00,0.00,0.00,0.00
UD_Coptic-Scriptorium,cop_scriptorium,,---,35267,9.15,9.49,9.87,9.69,9.89
UD_Czech-CAC,cs_cac,,---,474687,98.82,98.85,98.90,99.14,99.09
UD_Czech-CLTT,cs_cltt,,---,27770,98.31,99.09,99.33,99.31,99.30
UD_Czech-FicTree,cs_fictree,,---,134389,98.21,97.86,98.11,98.49,98.25
UD_Czech-PDT,cs_pdt,,---,1177406,99.00,98.88,98.71,98.96,99.06
UD_Czech-PUD,cs_pud,,cs\_pdt,0,97.26,97.47,97.32,97.45,97.56
UD_Old_Church_Slavonic-PROIEL,cu_proiel,,---,37432,83.26,83.27,97.82,97.91,97.91
UD_Welsh-CCG,cy_ccg,,---,10826,90.41,89.17,93.21,93.25,92.68
UD_Danish-DDT,da_ddt,,---,80378,97.90,97.52,98.58,98.62,98.49
UD_German-GSD,de_gsd,,---,268414,92.92,90.72,92.73,93.30,92.23
UD_German-HDT,de_hdt,,---,2753627,98.52,98.39,96.06,98.25,98.49
UD_German-LIT,de_lit,,de\_hdt,0,93.26,92.89,92.45,93.40,93.13
UD_German-PUD,de_pud,,de\_hdt,0,88.51,88.00,87.62,90.39,88.22
UD_Greek-GDT,el_gdt,,---,43440,94.54,94.29,94.80,94.89,94.80
UD_English-EWT,en_ewt,,---,207224,94.93,93.88,94.70,95.43,94.98
UD_English-GUM,en_gum,,---,103551,96.20,94.98,95.39,96.09,95.42
UD_English-LinES,en_lines,,---,57372,97.52,95.90,96.64,97.53,96.68
UD_English-ParTUT,en_partut,,---,43531,96.57,96.30,96.67,96.99,96.62
UD_English-Pronouns,en_pronouns,,en\_ewt,0,91.79,96.46,97.64,98.01,97.69
UD_English-PUD,en_pud,,en\_ewt,0,95.80,96.02,95.97,96.58,95.88
